observation_date,BAA10Y
2010-01-04,2.54
2010-01-05,2.53
2010-01-06,2.49
2010-01-07,2.48
2010-01-08,2.49
2010-01-11,2.47
2010-01-12,2.48
2010-01-13,2.50
2010-01-14,2.46
2010-01-15,2.48
2010-01-18,
2010-01-19,2.48
2010-01-20,2.48
2010-01-21,2.51
2010-01-22,2.53
2010-01-25,2.56
2010-01-26,2.59
2010-01-27,2.57
2010-01-28,2.57
2010-01-29,2.57
2010-02-01,2.57
2010-02-02,2.56
2010-02-03,2.58
2010-02-04,2.62
2010-02-05,2.62
2010-02-08,2.64
2010-02-09,2.65
2010-02-10,2.66
2010-02-11,2.70
2010-02-12,2.72
2010-02-15,
2010-02-16,2.73
2010-02-17,2.73
2010-02-18,2.72
2010-02-19,2.65
2010-02-22,2.65
2010-02-23,2.65
2010-02-24,2.65
2010-02-25,2.64
2010-02-26,2.62
2010-03-01,2.65
2010-03-02,2.64
2010-03-03,2.63
2010-03-04,2.62
2010-03-05,2.61
2010-03-08,2.59
2010-03-09,2.61
2010-03-10,2.59
2010-03-11,2.56
2010-03-12,2.55
2010-03-15,2.56
2010-03-16,2.55
2010-03-17,2.53
2010-03-18,2.52
2010-03-19,2.49
2010-03-22,2.50
2010-03-23,2.51
2010-03-24,2.48
2010-03-25,2.47
2010-03-26,2.49
2010-03-29,2.49
2010-03-30,2.48
2010-03-31,2.47
2010-04-01,2.44
2010-04-02,2.44
2010-04-05,2.43
2010-04-06,2.46
2010-04-07,2.44
2010-04-08,2.43
2010-04-09,2.43
2010-04-12,2.40
2010-04-13,2.40
2010-04-14,2.40
2010-04-15,2.42
2010-04-16,2.43
2010-04-19,2.42
2010-04-20,2.40
2010-04-21,2.38
2010-04-22,2.38
2010-04-23,2.37
2010-04-26,2.38
2010-04-27,2.39
2010-04-28,2.38
2010-04-29,2.37
2010-04-30,2.38
2010-05-03,2.37
2010-05-04,2.38
2010-05-05,2.40
2010-05-06,2.41
2010-05-07,2.55
2010-05-10,2.53
2010-05-11,2.58
2010-05-12,2.61
2010-05-13,2.60
2010-05-14,2.59
2010-05-17,2.59
2010-05-18,2.61
2010-05-19,2.65
2010-05-20,2.74
2010-05-21,2.76
2010-05-24,2.79
2010-05-25,2.81
2010-05-26,2.87
2010-05-27,2.89
2010-05-28,2.89
2010-05-31,
2010-06-01,2.92
2010-06-02,2.91
2010-06-03,2.92
2010-06-04,2.95
2010-06-07,3.00
2010-06-08,2.99
2010-06-09,3.00
2010-06-10,3.01
2010-06-11,3.04
2010-06-14,3.06
2010-06-15,3.05
2010-06-16,3.07
2010-06-17,3.04
2010-06-18,3.04
2010-06-21,3.02
2010-06-22,3.04
2010-06-23,3.05
2010-06-24,3.08
2010-06-25,3.09
2010-06-28,3.10
2010-06-29,3.12
2010-06-30,3.08
2010-07-01,3.02
2010-07-02,3.04
2010-07-05,
2010-07-06,3.05
2010-07-07,3.08
2010-07-08,3.07
2010-07-09,3.07
2010-07-12,3.05
2010-07-13,3.03
2010-07-14,3.02
2010-07-15,3.02
2010-07-16,3.04
2010-07-19,3.04
2010-07-20,2.99
2010-07-21,2.98
2010-07-22,2.97
2010-07-23,2.95
2010-07-26,2.92
2010-07-27,2.90
2010-07-28,2.92
2010-07-29,2.92
2010-07-30,2.91
2010-08-02,2.90
2010-08-03,2.92
2010-08-04,2.90
2010-08-05,2.93
2010-08-06,2.94
2010-08-09,2.95
2010-08-10,3.05
2010-08-11,3.03
2010-08-12,3.04
2010-08-13,3.05
2010-08-16,3.00
2010-08-17,2.99
2010-08-18,2.94
2010-08-19,2.93
2010-08-20,2.90
2010-08-23,2.94
2010-08-24,2.95
2010-08-25,2.94
2010-08-26,2.95
2010-08-27,2.96
2010-08-30,2.99
2010-08-31,3.01
2010-09-01,3.01
2010-09-02,3.02
2010-09-03,2.97
2010-09-06,
2010-09-07,2.96
2010-09-08,2.95
2010-09-09,2.96
2010-09-10,2.94
2010-09-13,2.97
2010-09-14,2.97
2010-09-15,3.00
2010-09-16,3.02
2010-09-17,3.03
2010-09-20,3.02
2010-09-21,3.05
2010-09-22,3.05
2010-09-23,3.04
2010-09-24,3.05
2010-09-27,3.04
2010-09-28,3.06
2010-09-29,3.06
2010-09-30,3.05
